Order ID,Order Date,Order Mode,Customer ID,City,Postal Code,Country,Region,Product ID,Product Name,Sub-Category,Sales,Cost Price,Quantity,Discount,Revenue,Profit, Category,Segment
YEK-987428,2024-02-07,In-Store,EG051605,London,WC1B,England,London,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home Organization,79.99,23.997,11,0,879.89,615.923,Home,Home
YEK-987428,2024-02-07,In-Store,EG051605,London,WC1B,England,London,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home Organization,79.99,23.997,11,0,879.89,615.923,Home,Home
YEK-987428,2024-02-07,In-Store,EG051605,London,WC1B,England,London,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home Organization,79.99,23.997,11,0,879.89,615.923,Home,Home
YEK-987428,2024-02-07,In-Store,EG051605,London,WC1B,England,London,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home Organization,79.99,23.997,11,0,879.89,615.923,Home,Home
YEK-987428,2024-02-07,In-Store,EG051605,London,WC1B,England,London,01JZ3N52GWPC8JADTNSYW3Q2KW,Freestanding Wine Rack,Home Organization,79.99,23.997,11,0,879.89,615.923,Home,Home
RWT-872441,2024-06-18,Online,UF034417,Kinloch,PH43,Scotland,Scotland,01JZ3N50NQCRTY15T5KFHYD594,Berries Medley,Fresh Fruits,6.99,2.097,11,0.24,76.89,53.823,Food,Produce
CPI-519592,2024-01-23,In-Store,CG060898,Halton,LS9,England,Yorkshire & the Humber,01JZ3N51V0YYJTCZB369CA5D23,Artisan Cornbread Mix,Mixes,2.49,0.747,2,0.08,4.98,3.486,Food,Baking
VYN-298760,2024-09-18,Online,EE025228,Manchester,M14,England,North West,01JZ3N5652QADWPPWJ0PWG860E,Thai Peanut Dressing,Dressing,3.29,0.987,3,0.17,9.87,6.909,Food,Condiments
TTI-504490,2024-04-27,In-Store,CX034161,Thorpe,BD23,England,Yorkshire & the Humber,01JZ3N52VR1TCRNXP4VRZN956S,Coconut Lime Rice,Grains,2.99,0.897,20,0.03,59.8,41.86,Food,Sides
MQD-548505,2024-11-04,Online,LT073005,London,W1F,,London,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Flavored Quinoa,3.49,1.047,13,0.11,45.37,31.759,Food,Grains
MQD-548505,2024-11-04,Online,LT073005,London,W1F,,London,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Flavored Quinoa,3.49,1.047,13,0.11,45.37,31.759,Food,Grains
MQD-548505,2024-11-04,Online,LT073005,London,W1F,,London,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Flavored Quinoa,3.49,1.047,13,0.11,45.37,31.759,Food,Grains
MQD-548505,2024-11-04,Online,LT073005,London,W1F,,London,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Flavored Quinoa,3.49,1.047,13,0.11,45.37,31.759,Food,Grains
MQD-548505,2024-11-04,Online,LT073005,London,W1F,,London,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Flavored Quinoa,3.49,1.047,13,0.11,45.37,31.759,Food,Grains
MQD-548505,2024-11-04,Online,LT073005,London,W1F,,London,01JZ3N51PJSSC4680WPA4VCNFH,Lemon Herb Quinoa,Flavored Quinoa,3.49,1.047,13,0.11,45.37,31.759,Food,Grains
INQ-887163,2024-08-28,In-Store,YL006843,Bradford,BD7,England,Yorkshire & the Humber,01JZ3N5386GF97V9DCN4FSQ05Z,Almond Flour Pizza Crust,Frozen Pizza Crusts,7.99,2.397,17,0.14,135.83,95.081,Food,Frozen Foods
EPC-931737,2024-12-23,Online,YL065975,Kingston,DT10,England,South West,01JZ3N51GB6BDR542KWQH4HB6P,Breathable Face Mask Set,Safety & Protection,14.99,4.497,9,0.15,134.91,94.437,Health,Health
ZNW-604184,2024-04-08,In-Store,YC083120,Preston,PR1,England,North West,01JZ3N513CABNBV3QR2YVXZ1SQ,Nutty Trail Mix,Healthy Snacks,4.29,1.287,15,0.24,64.35,45.045,Food,Snacks
MYO-440340,2024-05-20,Online,BT046086,Eaton,DN22,England,East Midlands,01JZ3N50R3QEBK1XYP3FC0AMBH,Window A/C Unit,Cooling Appliances,299.99,89.997,8,0.02,2399.92,1679.944,Home Appliances,Home Appliances
DSG-803574,2024-04-21,In-Store,WL011058,Brampton,NR34,England,East of England,01JZ3N5665EYQ6DZHK953CTJD3,Frozen Berry Medley,Frozen Fruits,5.49,1.647,14,0,76.86,53.802,Food,Frozen Foods
JYO-617315,2024-11-21,Online,XT003630,Wootton,NN4,England,East Midlands,01JZ3N51E8MR51C41QCMABZRME,Mini Meatballs,Frozen Appetizers,5.99,1.797,8,0.05,47.92,33.544,Food,Frozen Meals
NMH-342339,2024-06-08,In-Store,ON076441,Ford,GL54,England,South West,01JZ3N5127MA9SZ1Q03R14VSK5,Savory Quinoa Pudding,Grains,2.99,0.897,7,0.23,20.93,14.651,Food,Sides
HIC-342702,2024-04-16,Online,TI096309,Birmingham,B40,England,West Midlands,01JZ3N55NK7Z3Q1DJRSNBS8K8A,Bamboo Toothbrush,Oral Care & Hygiene,5.99,1.797,10,0.09,59.9,41.93,Health,Health
HIC-342702,2024-04-16,Online,TI096309,Birmingham,B40,England,West Midlands,01JZ3N55NK7Z3Q1DJRSNBS8K8A,Bamboo Toothbrush,Oral Care & Hygiene,5.99,1.797,10,0.09,59.9,41.93,Health,Health
IHX-141690,2024-10-14,In-Store,AM053527,Liverpool,L74,England,North West,01JZ3N52G9KWBBS5W8K65XVX37,Stuffed Grape Leaves,International Cuisine,5.79,1.737,17,0,98.43,68.901,Food,Prepared Foods
IHX-141690,2024-10-14,In-Store,AM053527,Liverpool,L74,England,North West,01JZ3N52G9KWBBS5W8K65XVX37,Stuffed Grape Leaves,International Cuisine,5.79,1.737,17,0,98.43,68.901,Food,Prepared Foods
ZFY-381798,2024-07-28,Online,GA094839,Aston,TF6,England,West Midlands,01JZ3N5697E2JNFMRZ7HR95BTQ,Hummus,Dips and Spreads,4.29,1.287,6,0.33,25.74,18.018,Food,Snacks
DTA-257023,2024-06-24,In-Store,CA010518,Buckland,CT16,England,South East,01JZ3N55GPDCTQ0M16H985G9CF,Cinnamon Raisin Bread,Breads,3.79,1.137,9,0.33,34.11,23.877,Food,Bakery
RKW-982849,2024-04-14,Online,RC069836,East End,BH21,England,North West,01JZ3N53J5FTP9096ZS78Y3PGF,Wall Calendar,Decorative Wall Art & Accessories,17.99,5.397,11,0.18,197.89,138.523,Home,Home
YTF-928288,2024-10-31,In-Store,XW060260,Linton,BD23,England,London,01JZ3N55W90654FHXC2MW9J551,Overnight Hiking Backpack,Camping Equipment,79.99,23.997,7,0.34,559.93,391.951,Outdoor,Outdoor
BYF-464482,2024-08-05,Online,FR008830,Kingston,DT10,England,South West,01JZ3N50E9A9YN8P0Z7MTKENNK,Beard Grooming Kit,Grooming,34.99,10.497,14,0.08,489.86,342.902,Grooming,Grooming
WEE-997453,2024-07-01,In-Store,YC016347,Thorpe,BD23,England,Yorkshire & the Humber,01JZ3N531RZHRE7XP6J9J2DHWD,Slingback Sandals,Women's Footwear,29.99,8.997,11,0.03,329.89,230.923,Clothing,Footwear
JDI-475937,2024-04-01,Online,PW001906,Sutton,CT15,England,South East,01JZ3N55J2TXMQMDGPQBETRMZE,Chipotle Lime Salsa,Salsas,3.99,1.197,13,0.07,51.87,36.309,Food,Condiments
JDI-475937,2024-04-01,Online,PW001906,Sutton,CT15,England,South East,01JZ3N55J2TXMQMDGPQBETRMZE,Chipotle Lime Salsa,Salsas,3.99,1.197,13,0.07,51.87,36.309,Food,Condiments
PMF-016057,2024-03-22,In-Store,LV083814,Burnside,EH52,Scotland,Scotland,01JZ3N513N96GEHXZ8EX7RV5DF,Travel Document Organizer,Travel Accessories,15.99,4.797,11,0,175.89,123.123,Travel,Travel
AFZ-196672,2024-01-24,Online,YO052337,London,WC2H,England,London,01JZ3N55RBBTDXRS10FA4G33NV,Sriracha Honey Glaze,Condiments,3.59,1.077,10,0.23,35.9,25.13,Food,Sauces
AFZ-196672,2024-01-24,Online,YO052337,London,WC2H,England,London,01JZ3N55RBBTDXRS10FA4G33NV,Sriracha Honey Glaze,Condiments,3.59,1.077,10,0.23,35.9,25.13,Food,Sauces
AFZ-196672,2024-01-24,Online,YO052337,London,WC2H,England,London,01JZ3N55RBBTDXRS10FA4G33NV,Sriracha Honey Glaze,Condiments,3.59,1.077,10,0.23,35.9,25.13,Food,Sauces
AFZ-196672,2024-01-24,Online,YO052337,London,WC2H,England,London,01JZ3N55RBBTDXRS10FA4G33NV,Sriracha Honey Glaze,Condiments,3.59,1.077,10,0.23,35.9,25.13,Food,Sauces
AFZ-196672,2024-01-24,Online,YO052337,London,WC2H,England,London,01JZ3N55RBBTDXRS10FA4G33NV,Sriracha Honey Glaze,Condiments,3.59,1.077,10,0.23,35.9,25.13,Food,Sauces
AFZ-196672,2024-01-24,Online,YO052337,London,WC2H,England,London,01JZ3N55RBBTDXRS10FA4G33NV,Sriracha Honey Glaze,Condiments,3.59,1.077,10,0.23,35.9,25.13,Food,Sauces
RAY-340575,2024-10-03,In-Store,YJ078139,Carlton,DL8,England,Yorkshire & the Humber,01JZ3N52Q3Q3X4VAX3JPA5WFX5,Quinoa Salad,Ready-to-Eat Meals,5.99,1.797,9,0,53.91,37.737,Food,Prepared Foods
NRR-704122,2024-07-11,Online,QP093917,Linton,BD23,England,North East,01JZ3N50Q2YVHN18ADNX70G8GG,Peach & Mango Salsa,Salsas and Dips,4.49,1.347,6,0.15,26.94,18.858,Food,Snacks
OUE-020778,2024-09-10,In-Store,LM010826,Linton,BD23,England,North West,01JZ3N51BYKZ5TJ5JHRAC29V9P,Vegetarian Stuffed Peppers,Vegetarian Meals,4.99,1.497,3,0.14,14.97,10.479,Food,Prepared Foods
QYA-070479,2024-10-21,Online,IA020578,Aston,TF6,England,West Midlands,01JZ3N55B4WPEQE6QDRFHK84BE,Wooden Children's Play Kitchen,Pretend Play Toys,129.99,38.997,11,0.23,1429.89,1000.923,Toys,Toys
WWL-152671,2024-12-18,In-Store,CA010518,Sheffield,S33,England,Yorkshire and the Humber,01JZ3N55GPDCTQ0M16H985G9CF,Cinnamon Raisin Bread,Breads,3.79,1.137,2,0.18,7.58,5.306,Food,Bakery
XHO-996385,2024-02-29,Online,SZ015455,Aberdeen,AB39,Scotland,Scotland,01JZ3N54NS8RZ04GX2AJZ79DKT,Peach Slices (canned),Canned Fruits,2.49,0.747,16,0.24,39.84,27.888,Food,Canned Goods
XOM-210568,2024-09-01,In-Store,EE025228,Burnside,EH52,Scotland,Scotland,01JZ3N5652QADWPPWJ0PWG860E,Thai Peanut Dressing,Dressing,3.29,0.987,17,0.38,55.93,39.151,Food,Condiments
ZMT-022457,2024-03-24,Online,DU053934,Norton,S8,England,East Midlands,01JZ3N54TVQ5KQSQJ34MB6ERHH,Deluxe First Aid Kit,Emergency Preparedness & First Aid,39.99,11.997,6,0.33,239.94,167.958,Health,Health
ZMT-022457,2024-03-24,Online,DU053934,Norton,S8,England,Yorkshire and the Humber,01JZ3N54TVQ5KQSQJ34MB6ERHH,Deluxe First Aid Kit,Emergency Preparedness & First Aid,39.99,11.997,6,0.33,239.94,167.958,Health,Health
UZF-990618,2024-05-11,In-Store,FR010822,Newbiggin,NE46,England,North East,01JZ3N50VPFAHBHC4N46WSZSEX,Maple Chipotle Glaze,Sauces,3.49,1.047,5,0.19,17.45,12.215,Food,Condiments
YIZ-536167,2024-01-14,Online,PO009558,Sutton,CT15,England,South East,01JZ3N51FX8Z7WYGMVG7F0YSXT,Foldable Picnic Table,Outdoor Furniture,49.99,14.997,13,0.22,649.87,454.909,Outdoor,Outdoor
YIZ-536167,2024-01-14,Online,PO009558,Sutton,CT15,England,South East,01JZ3N51FX8Z7WYGMVG7F0YSXT,Foldable Picnic Table,Outdoor Furniture,49.99,14.997,13,0.22,649.87,454.909,Outdoor,Outdoor
URP-701003,2024-01-02,In-Store,MC022478,Liverpool,L33,England,North West,01JZ3N50ESGK3P4RR5Z0YF0ESD,Greek Feta Cheese,Cheese,4.99,1.497,6,0.27,29.94,20.958,,
URP-701003,2024-01-02,In-Store,MC022478,Liverpool,L33,England,North West,01JZ3N50ESGK3P4RR5Z0YF0ESD,Greek Feta Cheese,Cheese,4.99,1.497,6,0.27,29.94,20.958,,
KGI-219987,2024-06-19,Online,LT063474,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N532B4S3S4KC6ED2FSAGB,Camping Tent,Camping Equipment,79.99,23.997,17,0.34,1359.83,951.881,Outdoor,Outdoor
OCP-808228,2024-10-12,In-Store,PN010412,Wootton,NN4,England,East Midlands,01JZ3N55JX79NVSRWTH1ACVZ43,Chickpea Flour,Flours & Meals,3.29,0.987,15,0.19,49.35,34.545,Food,Baking
KSA-202828,2024-05-27,Online,IR004773,Denton,M34,England,North West,01JZ3N53K4648H22HQM0V0RQ0P,Pretzel Bites,Savory Snacks,4.99,1.497,4,0.29,19.96,13.972,Food,Snacks
JEV-634682,2024-12-09,In-Store,ES037170,Tullich,AB55,Scotland,Scotland,01JZ3N54PW1A92ZNRYB7ESDGVV,Bamboo Memory Foam Pillow,Bedding & Linens,34.99,10.497,4,0.24,139.96,97.972,Home,Home
MVF-283019,2024-01-28,Online,XH062520,Kirkton,KW10,Scotland,Scotland,01JZ3N50MKM6Z86HMK0VE0X0JY,Self-Massaging Pillow,Sleep & Relaxation,49.99,14.997,8,0.19,399.92,279.944,Health,Health
YSW-355813,2024-07-02,In-Store,PO009558,Merton,SW19,England,London,01JZ3N51FX8Z7WYGMVG7F0YSXT,Foldable Picnic Table,Outdoor Furniture,49.99,14.997,6,0.37,299.94,209.958,Outdoor,Outdoor
LRP-803159,2024-04-01,Online,ZX008337,Tullich,AB55,Scotland,Scotland,01JZ3N513XDWN5P1JB6VWJH35B,Peach Yogurt,Yogurt,1.29,0.387,7,0.01,9.03,6.321,Food,Dairy
ZHU-728643,2024-05-09,In-Store,DI067107,Newton,IV1,Scotland,Scotland,01JZ3N55EPTAZNA3KX60RKB3NQ,Wrap Jumpsuit,Jumpsuits,54.99,16.497,8,0.13,439.92,307.944,Clothing,Jumpsuits
ZHU-728643,2024-05-09,In-Store,DI067107,Newton,IV1,Scotland,East Midlands,01JZ3N55EPTAZNA3KX60RKB3NQ,Wrap Jumpsuit,Jumpsuits,54.99,16.497,8,0.13,439.92,307.944,Clothing,Jumpsuits
LJV-275168,2024-07-10,Online,LE047809,Birmingham,B12,England,West Midlands,01JZ3N539A5HCSF7DWWR5NDZ0T,Car Diagnostic Scanner,Automotive Tools,49.99,14.997,20,0.34,999.8,699.86,Automotive,Automotive
LJV-275168,2024-07-10,Online,LE047809,Birmingham,B12,England,West Midlands,01JZ3N539A5HCSF7DWWR5NDZ0T,Car Diagnostic Scanner,Automotive Tools,49.99,14.997,20,0.34,999.8,699.86,Automotive,Automotive
PPD-047819,2024-07-08,In-Store,SZ015455,Ford,GL54,England,South West,01JZ3N54NS8RZ04GX2AJZ79DKT,Peach Slices (canned),Canned Fruits,2.49,0.747,3,0.15,7.47,5.229,Food,Canned Goods
THY-738097,2024-04-26,Online,EB064981,Marston,ST20,England,West Midlands,01JZ3N55A8YWVWHPYTD1RHJFHB,Essential Oils Diffuser Necklace,Aromatherapy & Wellness,19.99,5.997,13,0.35,259.87,181.909,Health,Health
INZ-133474,2024-03-29,In-Store,KX027147,Milton,NG22,England,East Midlands,01JZ3N558KZ286JKXHMDJF46W4,Decorative LED Neon Sign,Lighting & Lamps,45.99,13.797,7,0.35,321.93,225.351,Home,Home
INZ-133474,2024-03-29,In-Store,KX027147,Milton,NG22,England,Scotland,01JZ3N558KZ286JKXHMDJF46W4,Decorative LED Neon Sign,Lighting & Lamps,45.99,13.797,7,0.35,321.93,225.351,Home,Home
VWG-856547,2024-09-20,Online,IL009957,Norton,NN11,England,East Midlands,01JZ3N53AE9HMTFV7P3DVP5RRC,Portable Massage Table,Massage Therapy,199.99,59.997,8,0.23,1599.92,1119.944,Health,Health
VWG-856547,2024-09-20,Online,IL009957,Norton,NN11,England,Yorkshire and the Humber,01JZ3N53AE9HMTFV7P3DVP5RRC,Portable Massage Table,Massage Therapy,199.99,59.997,8,0.23,1599.92,1119.944,Health,Health
ABT-268843,2024-07-16,In-Store,AC082690,London,EC3M,England,London,01JZ3N51NF43S4F83KN8ANJAGV,Mini Waffle Maker,Small Appliances,24.99,7.497,1,0.15,24.99,17.493,Kitchen,Kitchen
ABT-268843,2024-07-16,In-Store,AC082690,London,EC3M,England,London,01JZ3N51NF43S4F83KN8ANJAGV,Mini Waffle Maker,Small Appliances,24.99,7.497,1,0.15,24.99,17.493,Kitchen,Kitchen
ABT-268843,2024-07-16,In-Store,AC082690,London,EC3M,England,London,01JZ3N51NF43S4F83KN8ANJAGV,Mini Waffle Maker,Small Appliances,24.99,7.497,1,0.15,24.99,17.493,Kitchen,Kitchen
ABT-268843,2024-07-16,In-Store,AC082690,London,EC3M,England,London,01JZ3N51NF43S4F83KN8ANJAGV,Mini Waffle Maker,Small Appliances,24.99,7.497,1,0.15,24.99,17.493,Kitchen,Kitchen
ABT-268843,2024-07-16,In-Store,AC082690,London,EC3M,England,London,01JZ3N51NF43S4F83KN8ANJAGV,Mini Waffle Maker,Small Appliances,24.99,7.497,1,0.15,24.99,17.493,Kitchen,Kitchen
ABT-268843,2024-07-16,In-Store,AC082690,London,EC3M,England,London,01JZ3N51NF43S4F83KN8ANJAGV,Mini Waffle Maker,Small Appliances,24.99,7.497,1,0.15,24.99,17.493,Kitchen,Kitchen
CUW-865430,2024-01-24,Online,VA049493,London,SW1E,England,London,01JZ3N51PTJBK8NSJV8GDX8NH1,Organic Italian Seasoning,Herbs and Spices,2.99,0.897,20,0.08,59.8,41.86,Food,Spices
CUW-865430,2024-01-24,Online,VA049493,London,SW1E,England,London,01JZ3N51PTJBK8NSJV8GDX8NH1,Organic Italian Seasoning,Herbs and Spices,2.99,0.897,20,0.08,59.8,41.86,Food,Spices
CUW-865430,2024-01-24,Online,VA049493,London,SW1E,England,London,01JZ3N51PTJBK8NSJV8GDX8NH1,Organic Italian Seasoning,Herbs and Spices,2.99,0.897,20,0.08,59.8,41.86,Food,Spices
CUW-865430,2024-01-24,Online,VA049493,London,SW1E,England,London,01JZ3N51PTJBK8NSJV8GDX8NH1,Organic Italian Seasoning,Herbs and Spices,2.99,0.897,20,0.08,59.8,41.86,Food,Spices
CUW-865430,2024-01-24,Online,VA049493,London,SW1E,England,London,01JZ3N51PTJBK8NSJV8GDX8NH1,Organic Italian Seasoning,Herbs and Spices,2.99,0.897,20,0.08,59.8,41.86,Food,Spices
CUW-865430,2024-01-24,Online,VA049493,London,SW1E,England,London,01JZ3N51PTJBK8NSJV8GDX8NH1,Organic Italian Seasoning,Herbs and Spices,2.99,0.897,20,0.08,59.8,41.86,Food,Spices
MBM-741069,2024-11-24,In-Store,ZJ097568,London,WC1B,England,London,01JZ3N55V7T7WD21792YV0E465,Soft Plush Throw Blanket,Bedding & Linens,29.99,8.997,13,0.11,389.87,272.909,Home,Home
MBM-741069,2024-11-24,In-Store,ZJ097568,London,WC1B,England,London,01JZ3N55V7T7WD21792YV0E465,Soft Plush Throw Blanket,Bedding & Linens,29.99,8.997,13,0.11,389.87,272.909,Home,Home
MBM-741069,2024-11-24,In-Store,ZJ097568,London,WC1B,England,London,01JZ3N55V7T7WD21792YV0E465,Soft Plush Throw Blanket,Bedding & Linens,29.99,8.997,13,0.11,389.87,272.909,Home,Home
MBM-741069,2024-11-24,In-Store,ZJ097568,London,WC1B,England,London,01JZ3N55V7T7WD21792YV0E465,Soft Plush Throw Blanket,Bedding & Linens,29.99,8.997,13,0.11,389.87,272.909,Home,Home
MBM-741069,2024-11-24,In-Store,ZJ097568,London,WC1B,England,London,01JZ3N55V7T7WD21792YV0E465,Soft Plush Throw Blanket,Bedding & Linens,29.99,8.997,13,0.11,389.87,272.909,Home,Home
MBM-741069,2024-11-24,In-Store,ZJ097568,London,WC1B,England,London,01JZ3N55V7T7WD21792YV0E465,Soft Plush Throw Blanket,Bedding & Linens,29.99,8.997,13,0.11,389.87,272.909,Home,Home
KQJ-001235,2024-04-12,Online,WZ006306,Walton,CV35,England,West Midlands,01JZ3N55NWDR1PYN87QKB5G8GC,Smoked Paprika Chicken Thighs,Prepared Poultry,6.99,2.097,16,0.17,111.84,78.288,Food,Meat
REA-513209,2024-03-27,In-Store,XJ066938,Langley,SG4,England,East of England,01JZ3N50MA05MEEWM055VCTKVV,Apricot Jam,Fruit Spreads,4.29,1.287,11,0.02,47.19,33.033,Food,Condiments
LWF-677768,2024-04-09,Online,KX027147,Seaton,LE15,England,East Midlands,01JZ3N558KZ286JKXHMDJF46W4,Decorative LED Neon Sign,Lighting & Lamps,45.99,13.797,11,0.39,505.89,354.123,Home,Home
LBS-810439,2024-12-05,In-Store,MQ028717,Whitwell,DL10,England,Yorkshire & the Humber,01JZ3N51K81J5M6WWGKV8BS5XX,Elderberry Syrup,Supplements,11.99,3.597,14,0.01,167.86,117.502,Food,Supplements
ARZ-296904,2024-10-04,Online,NB014517,Milton,NG22,England,East Midlands,01JZ3N52QCAFXYWMDDBS47DJ05,Maple Cinnamon Granola,Granola,4.29,1.287,9,0.32,38.61,27.027,Food,Cereals
ARZ-296904,2024-10-04,Online,NB014517,Milton,NG22,England,Scotland,01JZ3N52QCAFXYWMDDBS47DJ05,Maple Cinnamon Granola,Granola,4.29,1.287,9,0.32,38.61,27.027,Food,Cereals
VZQ-445742,2024-04-16,In-Store,PB063442,Marston,ST20,England,West Midlands,01JZ3N56NQJT7PSK1CHWNZ3WN8,Cacao Powder,Baking Ingredients,4.49,1.347,20,0.15,89.8,62.86,Food,Baking
AEC-113992,2024-04-20,Online,UA071149,London,EC3M,England,London,01JZ3N51YCN1GFP18YHKZ9NARX,Luxury Bath Salts,Bath & Body,19.99,5.997,17,0.2,339.83,237.881,Beauty,Beauty
AEC-113992,2024-04-20,Online,UA071149,London,EC3M,England,London,01JZ3N51YCN1GFP18YHKZ9NARX,Luxury Bath Salts,Bath & Body,19.99,5.997,17,0.2,339.83,237.881,Beauty,Beauty
AEC-113992,2024-04-20,Online,UA071149,London,EC3M,England,London,01JZ3N51YCN1GFP18YHKZ9NARX,Luxury Bath Salts,Bath & Body,19.99,5.997,17,0.2,339.83,237.881,Beauty,Beauty
AEC-113992,2024-04-20,Online,UA071149,London,EC3M,England,London,01JZ3N51YCN1GFP18YHKZ9NARX,Luxury Bath Salts,Bath & Body,19.99,5.997,17,0.2,339.83,237.881,Beauty,Beauty
AEC-113992,2024-04-20,Online,UA071149,London,EC3M,England,London,01JZ3N51YCN1GFP18YHKZ9NARX,Luxury Bath Salts,Bath & Body,19.99,5.997,17,0.2,339.83,237.881,Beauty,Beauty
AEC-113992,2024-04-20,Online,UA071149,London,EC3M,England,London,01JZ3N51YCN1GFP18YHKZ9NARX,Luxury Bath Salts,Bath & Body,19.99,5.997,17,0.2,339.83,237.881,Beauty,Beauty
CSF-687388,2024-05-27,In-Store,LE047809,Newton,IV1,Scotland,Scotland,01JZ3N539A5HCSF7DWWR5NDZ0T,Car Diagnostic Scanner,Automotive Tools,49.99,14.997,5,0,249.95,174.965,Automotive,Automotive
CSF-687388,2024-05-27,In-Store,LE047809,Newton,IV1,Scotland,East Midlands,01JZ3N539A5HCSF7DWWR5NDZ0T,Car Diagnostic Scanner,Automotive Tools,49.99,14.997,5,0,249.95,174.965,Automotive,Automotive
VTD-792335,2024-04-02,Online,DT034609,Walton,CV35,England,West Midlands,01JZ3N512SWNB2MS3TFZ1FX34N,Natural Soy Candles,Home Fragrance & Accessories,19.99,5.997,17,0.32,339.83,237.881,Home,Home
GKM-442541,2024-06-25,In-Store,PN010412,Hatton,CV35,England,North West,01JZ3N55JX79NVSRWTH1ACVZ43,Chickpea Flour,Flours & Meals,3.29,0.987,4,0.22,13.16,9.212,Food,Baking
HEE-686754,2024-04-12,Online,AS095657,Kinloch,PH43,Scotland,Scotland,01JZ3N52Z38YMBTDKBN72BNGMJ,Pork Chops,Pork,9.49,2.847,15,0.1,142.35,99.645,Food,Meat
UAS-390406,2024-07-18,In-Store,LT061731,Horton,BS37,England,South West,01JZ3N5605QF5QNFNAWRYMKMNK,Roasted Sweet Corn,Frozen Vegetables,1.99,0.597,19,0.1,37.81,26.467,Food,Frozen
JSD-384225,2024-07-26,Online,RU058520,Birmingham,B12,England,West Midlands,01JZ3N56BQNGWJE6W17D61P2N9,Ribbed Knit Dress,Casual Dresses,59.99,17.997,4,0.08,239.96,167.972,Clothing,Dresses
JSD-384225,2024-07-26,Online,RU058520,Birmingham,B12,England,West Midlands,01JZ3N56BQNGWJE6W17D61P2N9,Ribbed Knit Dress,Casual Dresses,59.99,17.997,4,0.08,239.96,167.972,Clothing,Dresses
UTS-951900,2024-10-04,In-Store,WT037292,Linton,BD23,England,South East,01JZ3N55PZNB6Y5TXZQXA1RGGC,Sweet Potato Fries,Frozen Snacks,3.99,1.197,7,0.13,27.93,19.551,Food,Frozen Foods
